date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:45	136/136	---MCZ	200	added ('OK')	text/plain	etag:W/%221581184498.0-139-716443436%22	https://erumbot.com/robots.txt		(from )
17:32:45	8181/8181	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2014:32:45%20GMT	https://erumbot.com/	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/index.html	(from )
17:32:45	25700/25700	---M-Z	200	added ('OK')	application/javascript	etag:%22357680a52c5cd8878b8ebb90c5db662f%22	https://erumbot.com/cdn-cgi/apps/head/u4XbZSGT9Oltjv44PQuW7yEEazo.js	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/cdn-cgi/apps/head/u4XbZSGT9Oltjv44PQuW7yEEazo.js	(from https://erumbot.com/)
17:32:46	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221548080676.0-1150-957157204%22	https://erumbot.com/static/favicon.ico	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/favicon.ico	(from https://erumbot.com/)
17:32:47	15275/15275	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad2-3bab%22	https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	(from https://erumbot.com/)
17:32:48	14971/14971	---MCZ	200	added ('OK')	text/css	etag:W/%221562269122.0-14971-2348880231%22	https://erumbot.com/static/css/spectrum.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/css/spectrum.css	(from https://erumbot.com/)
17:32:48	70942/70942	---MCZ	200	added ('OK')	text/css	etag:W/%221576004968.0-70942-3264549532%22	https://erumbot.com/static/css/awesomefont.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/css/awesomefont.css	(from https://erumbot.com/)
17:32:49	19425/19425	---MCZ	200	added ('OK')	text/css	etag:W/%221583440489.0-19425-2005733524%22	https://erumbot.com/static/css/Erum_v2.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/css/Erum_v2.css	(from https://erumbot.com/)
17:32:49	179021/179021	---MCZ	200	added ('OK')	text/css	etag:W/%221580643258.0-179021-3255308939%22	https://erumbot.com/static/css/materialize.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/css/materialize.css	(from https://erumbot.com/)
17:32:49	1193/1193	---MCZ	200	added ('OK')	text/css	etag:W/%221582973688.0-1193-1478168594%22	https://erumbot.com/static/css/right.css	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/css/right.css	(from https://erumbot.com/)
